Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 30 Mar 2022 18:17:40 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2002-0165-USA,2002,0165,,Natural,Meteorological,Storm,,,,United States of America (the),USA,Northern America,Americas,"Sevier, Blount, Knox, Hawkins districts (Tennessee province), Cumberland, Bell districts (Kentucky province), Wise, Smyth, Washington districts (Virginia province), Cabell district (West Virginia province), North Carolina, Mississippi, Arkansas, Texas provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,Cumberland river,2002,3,19,2002,3,19,6,4,750,,754,,,200500,302040,200500,302040,66.3819637,1;2,3217;3238;3247;3257,29677;29699;31109;31141;31151;31182;31611;31622;31627;31674,"Arkansas, Mississippi, North Carolina, Texas (Adm1). Bell, Blount, Cabell, Cumberland, Hawkins, Knox, Sevier, Smyth, Washington, Wise (Adm2). "
2002-0724-USA,2002,0724,,Natural,Meteorological,Storm,Tropical cyclone,,Lili,United States of America (the),USA,Northern America,Americas,"St. Tammany, Terrebonne, Lafayette, Acadia, Evangeline, Rapides districts (Louisiana province)",,Flood,,,,,,,Kph,,,,,2002,10,3,2002,10,3,,,,,,,,750000,1129825,2000000,3012867,66.3819637,2,,29791;29810;29819;29830;29842;29845,"Acadia, Evangeline, Lafayette, Rapides, St. Tammany, Terrebonne (Adm2). "
2002-0017-USA,2002,0017,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Alabama, Louisiana, Virginia, North Carolina, South Carolina, Mississipi, Georgia, Pensylvania, ",,Transport accident,,,,,,114,Kph,,,,,2002,1,,2002,1,,24,,,,,,,,,,,66.3819637,1,3214;3224;3232;3238;3247;3252;3254;3260,,"Alabama, Georgia, Louisiana, Mississippi, North Carolina, Pennsylvania, South Carolina, Virginia (Adm1). "
2002-0128-USA,2002,0128,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Oklahoma, Missouri, Wisconsin, Michigan, Arkansas provinces",,Transport accident,,,,,,,Kph,,,,,2002,3,,2002,3,,20,,,,,,,,,,,66.3819637,1,3217;3236;3239;3250;3263,,"Arkansas, Michigan, Missouri, Oklahoma, Wisconsin (Adm1). "
2002-0283-USA,2002,0283,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Happy town (Randall, Swisher districts, Texas province)",,,,,,,,,Kph,,,,,2002,5,5,2002,5,5,2,3,150,30,183,,,,,,,66.3819637,2,,31390;31418,"Randall, Swisher (Adm2). "
2002-0287-USA,2002,0287,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Wayne, Jefferson districts (Illinois province)",,,,,,,,,Kph,,,,,2002,4,21,2002,4,21,1,12,,,12,,,,,4000,6026,66.3819637,2,,29313;29368,"Jefferson, Wayne (Adm2). "
2002-0310-USA,2002,0310,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Breckinridge, Meade, Crittenden, Webster, Hopkins, Ohio, Hardin, Edmonson districts (Kentucky province), Bollinger, Howell districts (Missouri province), Charles, Calvert, Dorchester, Wicomico, Cecil districts (Maryland province), Illinois (Clay,Union, Johnson,Pope, Moultrie, Saline, Bond), Gordon district (Georgia province), Atchison district (Kansas province), Erie, Allegany districts (New York province), Stark district (Ohio province), Indiana, Mercer, Venango, Butler, Armstrong, Columbia, Lebanon, Allegheny districts (Pennsylvania province), Rutherford, Lake, Henry, Carter districts (Tennessee province), Virginia (Shenandoah, Greensville, Bedford, (Campbell, Nottoway, Prince George), Marshall district (West Virginia province), Pontotoc, Chickasaw districts (Mississippi province), Perry district (Indiana province)",,,,,,Yes,,290,Kph,,,,,2002,4,27,2002,5,3,10,100,,,100,,,2000500,3013620,2200000,3314153,66.3819637,2,,29128;29275;29285;29316;29342;29348;29354;29363;29436;29568;29684;29698;29701;29717;29724;29752;29762;29787;29875;29878;29879;29880;29893;30087;30136;30169;30206;30506;30519;30795;30922;30923;30930;30939;30952;30958;30963;30981;31114;31144;31152;31179;31516;31551;31586;31596;31610;31693;154744,"Allegany, Allegheny, Armstrong, Atchison, Bedford, Bollinger, Bond, Breckinridge, Butler, Calvert, Campbell, Carter, Cecil, Charles, Chickasaw, Clay, Columbia, Crittenden, Dorchester, Edmonson, Erie, Gordon, Greensville, Hardin, Henry, Hopkins, Howell, Indiana, Johnson, Lake, Lebanon, Marshall, Meade, Mercer, Moultrie, Nottoway, Ohio, Perry, Pontotoc, Pope, Prince George, Rutherford, Saline, Shenandoah, Stark, Union, Venango, Webster, Wicomico (Adm2). "
2002-0569-USA,2002,0569,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Ladysmith city (Rusk district, Wisconsin province)",,,,,,,,,Kph,,,,,2002,9,5,2002,9,5,,36,450,51,537,,,,,20000,30129,66.3819637,2,,31778,Rusk (Adm2). 
